locale|en_HK
TUTORIAL_GREETING_1|This is E-Encewadus Pwime to {player/transponder} {player/shipname}. Youw minying wicense doesn't check out. Howd youw ship fow wemote inspection.
TUTORIAL_GREETING_2|Seems that you awe wate fow youw pewiodic inspection o-of the {player/shipname}. I can s-set you up fow tempowawy pewmission wemotewy, but you'ww have to get the pwopew papews back at the station.
TUTORIAL_BEARING_1|Fiwst wet's check youw autopiwot owientation sensows. Owient youw s-ship to 0 degwees and howd that heading. (OwO)
TUTORIAL_BEARING_2|Good, nyow set owientation to 90 degwees a-and howd that.
TUTORIAL_VELOCITY_1|That seems to be in wowking owdew. Nyow to youw vewocity sensows. Accewewate to 20 m/s into the wing.
TUTORIAL_VELOCITY_2|Good, nyow 5m/s towawds the station a-and edge of t-the wing.
TUTORIAL_VELOCITY_3|G-Good, howd youw p-position nyow.
TUTORIAL_VELOCITY_4|Give me a moment to fiww this out. I'ww get wight back t-to you. OwO
TUTORIAL_MINING_0|Okay {player/shipname}, it's time to check youw minying equipment. Howd youw p-position.
TUTORIAL_MINING_1|Wet's check youw excavatow. Open it up. (^w^)
TUTORIAL_MINING_2|I detect an owe nyugget nyeawby, t-tawget-wocking you. Fwy swowwy towawds it with y-youw e-excavatow open.
TUTORIAL_MINING_3|Checking cawibwation of autopiwot tawget-wock. Tawget onye of the i-ice wocks fwoating awound.
TUTORIAL_MINING_4|Good, nyow howd youw wewative vewocity to t-that wock, I n-nyeed to scan the awea.
TUTORIAL_MINING_5|We awe cweaw of any ships, you a-awe authowized to fiwe y-youw m-mass-dwivew.
TUTORIAL_MINING_6|We nyeed to c-check tawget-wock wesowution. W-Wock on something smaww and shiny, wike a-an owe nyugget. Y-You might want to check youw WIDAW.
TUTORIAL_MINING_7|Good, nyow match vewocity t-to that nyugget.
TUTORIAL_MINING_8|Okay, we awe donye with this pawt. Give me a minyute t-to wecowd this. You might want to use this time to minye.
TUTORIAL_THRUSTERS_0|Time to check youw manyuaw c-contwows. Fiwst, stop youw ship using autopiwot.
TUTORIAL_THRUSTERS_1|Okay, y-youw autopiwot seems t-to b-be in wowking owdew. Nyow manyuaw c-contwow. Disengage the autopiwot and fiwe WCS manyuawwy.
TUTORIAL_THRUSTERS_2|Good. Nyow the main towch.
TUTORIAL_THRUSTERS_3|W-We-engage autopiwot and come to a fuww stop.
TUTORIAL_OMS_1|F-Finyaw point. Bwing up youw Onboawd Maintenyance System. Whiwe you'we t-thewe, you might want to famiwiawize youwsewf with the cuwwent astwogation intewface. T-Thewe may have been updates since y-you wewe wicensed.
TUTORIAL_OMS_2|Seems to be opewationyaw. This c-concwudes t-the wemote inspection. You can astwogate back to the station at Encewadus Pwime f-fow y-youw pewmanyent wicense, ow just stay in the wings and minye a bit wongew. Youw cuwwent tempowawy wicense is good fow onye dive.
TUTORIAL_END|Good pwofits {player/shipname}, and watch y-youwsewf. Wings awe a dangewous pwace. Encewadus out.
DIALOG_MINER_WHY_HERE_1|This is {origin/shipname}. What awe you doing h-hewe winga? >w<
DIALOG_MINER_BUZZ_OFF_1|Nyonye of youw businyess {target/shipname}.
DIALOG_MINER_LOOKING_FOR_VEINS|Wooking fow veins to minye.
DIALOG_MINER_TOO_SHALLOW|You'we stiww in the shawwows, {target/shipname}. The outew wim is pwacticawwy vapow. Check the visuaw feed fow thickew ice; you'ww stawt seeing bettew wesuwts in those aweas.
DIALOG_MINER_GOOD_LUCK|G-Good wuck {target/shipname}!? OwO
DIALOG_MINER_EASY_THERE|E-Easy thewe winga, I-I'm going. {origin/shipname} out. ;;w;;
