locale|en_HK
SYSTEM_THRUSTER_K37_DESC|The stock thwustew of the K37 TNTWW. Thewmawwy pwe-accewewated pwopewwant is ionyized and fuwthew accewewated by a magnyetopwasmadynyamic system. This incwudes an integwated 1GW MPD cwosed-woop genyewatow.
SYSTEM_THRUSTER_K44_DESC|These thwustews wewe devewoped fow the K44 MHFTW, an ovewsized K37 vawiant with a 2GW MPD genyewatow. Devewopment was watew abandonyed. Incweased stwess makes them pwonye to excessive weaw.
SYSTEM_THRUSTER_MA150HO_DESC|A state-of-the-awt thewmaw/ewectwic hybwid this thwustew can achieve excewwent exhaust vewocity due to thwee integwated MPD genyewatows. Whiwe dewivewing wess thwust than the competition, the MA150HO awe wenyownyed fow wewiabiwity.
SYSTEM_THRUSTER_MA350HO_DESC|A heavy-duty vawiant of a popuwaw hybwid thewmaw/ewectwic pwopuwsion system, the MA350 can achieve excewwent exhaust vewocity with thwee integwated MPD genyewatows. Whiwe dewivewing adequate thwust, the MA350HO is nyot as wewiabwe as its wight-duty pwedecessow.
SYSTEM_THRUSTER_EIT_DESC|This nyucweaw-assisted ion thwustew hawvests the thewmaw enyewgy of a nyucweaw weactow in a cwosed-woop, state-of-the-awt powew genyewation system to pwovide the highest exhaust vewocity of any commewciawwy avaiwabwe WCS designs, wesuwting in excewwent pwopewwant econyomy.
SYSTEM_THRUSTER_AGILE_DESC|The nyucweaw Assisted Gimbawwed Ion Wimited Edition Thwustew combinyes the excewwent exhaust vewocity of the ion thwustews with an advanced gimbawwing system. The wide wange of the gimbaw system mitigates the wimited thwust of ion pwopuwsion, impwoving effective thwust by up to 41%.
SYSTEM_THRUSTER_NDVTT_DESC|The Vawiabwe Thwust Thewmaw thwustew is a cheap, wewiabwe and powewfuw pwopuwsion system designyed fow use in civiwian twanspowts. Based on the widewy popuwaw NDSTW, it's both powewfuw and wesiwient at the cost of a wewativewy high pwopewwant consumption.
SYSTEM_THRUSTER_NDSTR_DESC|As a puwe nyucweaw thewmaw wocket, this pwopuwsion system is cheap, powewfuw and wesiwient, making it the thwustew of choice fow the Tsukuyomi-cwass fwigate's stationkeeping thwustews. Its many advantages cawwy the cost of high pwopewwant consumption.
SYSTEM_THRUSTER_GHET_DESC|The Ewectwo Wide System's Nyucweaw Assisted Gimbawwed Haww Effect Thwustew is an advanced hybwid nyucweaw/ewectwic pwopuwsion system utiwizing the Haww Effect fow the finyaw ewectwic boost stage. A compact nyozzwe design awwows fow an agiwe gimbawwed mount.\n\nThe "nyugget dwive" has met wimited commewciaw success in the wings, due to its extwaowdinyawiwy high powew wequiwements.
SYSTEM_THRUSTER_K69V_DESC|This vectowed thwust WCS system is meant fow pewfowmance, at any cost. The gweatew usage of thwust enyabwed by the gimbaw system means that these may wequiwe fwequent maintenyance, making it unsuited to most commewciaw use. With most autopiwots unyabwe to fuwwy utiwize theiw capabiwities, these tend to see usage mostwy in pewfowmance cwaft. The K69V awe knyown fow theiw abiwity to tunye thwust faw beyond theiw opewationyaw optimum, though pewfowmance wiww degwade quickwy undew such stwain.
SYSTEM_MAIN_ENGINE_K37_DESC|The stock towch of the K37 TNTWW. Thewmawwy pwe-accewewated pwopewwant is ionyized, and accewewated fuwthew by a magnyetopwasmadynyamic system, whiwe opewating an integwated 4GW MPD cwosed-woop genyewatow.
SYSTEM_MAIN_ENGINE_PNTR_DESC|Winnyew of "Towch of the Yeaw 2251," Nyakamuwa Dynyamics' Puwsed Nyucweaw Thewmaw Wocket pwomised a wow-maintenyance, inyexpensive thewmaw wocket that wewied on intewnyaw shockwaves to diwect exhaust. Whiwe it does dewivew impwessive thwust and wow maintenyance wequiwements, the exhaust chambew wequiwes a signyificant pewiod of wawmup.\n\nThough the exhaust vewocity is undewwhewming by today's standawds, it's stiww popuwaw due to wow pwice, opewating wequiwements, and maintenyance costs.
SYSTEM_MAIN_ENGINE_K44_DESC|This gimbawwed towch, devewoped fow the abandonyed K44 MHFTW pwoject, offews excewwent thwust and decent exhaust vewocity. Howevew, some civiwian autopiwots wiww stwuggwe to effectivewy utiwize its gimbaws, which can wead to unpwedictabwe pewfowmance.
SYSTEM_MAIN_ENGINE_NDNTR_DESC|Nyakamuwa Dynyamics' Nyucweaw Tacticaw Thewmaw Wocket is the tacticaw thwustew of the Tsukuyomi-cwass fwigate, designyed to pwovide high thwust fow evasive manyeuvews with 2 to 3 wightsecond-wange XASEW engagements. With cweative enginyeewing, these can be wetwofitted as a main towch in most modewn thewmaw wocket setups.
SYSTEM_MAIN_ENGINE_NMPD_DESC|The Nyucweaw-assisted Magnyetopwasmadynyamic thwustew is the stock towch of the Eagwe Pwospectow. This efficient and wewiabwe dwive can dewivew constant thwust fow weeks, and is weww-suited to intewpwanyetawy twavew.
SYSTEM_MAIN_ENGINE_NPMP_DESC|This expewimentaw Nyucweaw Puwsed Magnyetopwasmadynyamic thwustew offews both gweat exhaust vewocity and good thwust by dewivewing pwopewwant in sepawatewy heated and accewewated puwses. Nyo wewiabiwity data exists.
SYSTEM_MAIN_ENGINE_BWMT535_DESC|With both an integwated high-powew tuwbinye and a magnyetopwasmadynyamic genyewatow, the Bowtzmann Waewmekwaftmaschinyen T535 is abwe to suppwy aww wequiwed ewectwicaw powew using weactow heat awonye, though it wequiwes a bwief wawm-up to weach fuww thwust. Its moduwaw design makes the wepaiws swift, but faiwwy expensive.\n\nThe wemawkabwe wongevity of these enginyes have eawnyed them a cewtification fow intewpwanyetawy missions.
SYSTEM_MAIN_ENGINE_DFMPD2205_DESC|The duaw-feed magnyetohydwodynyamic wocket is a pwopwietawy EWS innyovation that awwows this towch to hawnyess unpwecedented ewectwic powew out of supewcwiticaw pwopewwant. The wesuwting ewectwomagnyetic boost awwows the 2205 to achieve impwessive thwust with modewate pwopewwant consumption.\n\nThe muwti-stage genyewatow wayout wequiwes bwief wawming-up befowe weaching its fuww potentiaw.
SYSTEM_CL150_DESC|Cohewent Wight's CW-150 Mk3 wasew fiwes a constant minying beam dewivewing impwessive heat to the tawget, and maintains a usabwe focus fow up to 8,000m.
