locale|en_HK
TOOLTIP_MANUAL|Manyuaw contwows. Disengage autopiwot.
UPGRADE_MANUAL|Usew Manyuaw
SYSTEM_NONE_MANUAL|Nyo system wiww be instawwed hewe, pwoviding nyo benyefit and nyo dwawbacks.
SYSTEM_HUNK_MANUAL|Pwovides pwotection against heat, micwowave and wow to mid vewocity impacts.\nCan be ejected by disabwing the hawdpoint.\nEmpty cwadwe awm can catch dwonyes and wifepods.
SYSTEM_MD_MANUAL|Deaws kinyetic damage.\nWequiwes kinyetic ammunyition stowage.
SYSTEM_AMD_MANUAL|Deaws kinyetic damage.\nWequiwes kinyetic ammunyition stowage.\nAutomaticawwy adjusts aim in a nyawwow conye in fwont of the ship.
SYSTEM_CLAIM_MANUAL|Depwoy by disabwing the hawdpoint and moving away.\nCweates a singwe cwaim - a tempowawy waypoint - fow a fee.\nCwaim can be extended ow cancewed when we-visiting.\nCwadwe can be wefunded aftew depwoyment.\nCwaim wicense is tied to the owiginyaw hawdpoint of the beacon. You can have two by instawwing a cwaim beacon in anyothew swot.\nCwaim bwoadcasts attwact attention.\nEmpty cwadwe awm can catch dwonyes and wifepods.
SYSTEM_SALVAGE_ARM_MANUAL|Automaticawwy catches ships, smaww astewoids and owe.\nDewewict ow disabwed piwate ships can be cwaimed upon wetuwn to the station.\nWiww attempt to move caught items into the cawgo bay when you open the excavatow.\nDisabwe the hawdpoint to wewease item hewd.\nTawgeting options configuwabwe on the Geowogist panyew.
SYSTEM_MWG_MANUAL|Deaws thewmaw and ewectwomagnyetic damage.\nCan disabwe hostiwe ship computews and autopiwots, stunnying ships.
SYSTEM_EXSTORAGE_MANUAL|Automaticawwy stowes pwocessed owe.\nYou can customize owe stowed on Geowogist tab.\nWequiwes minyewaw pwocessing unyit to be used effectivewy.\nWiww unbawance the ship if onwy onye is instawwed.\nCan be ejected by disabwing the hawdpoint.\nThe ejected containyew wiww attempt to wetuwn to the station with its cawgo automaticawwy.\nEmpty cwadwe awm can catch dwonyes and wifepods.
SYSTEM_EINAT_MANUAL|Deaws miwd kinyetic and heavy thewmaw damage.\nDwaws pwopewwant fwom the main tanks.
SYSTEM_SCOOP_MANUAL|Depwoy by powewing down the awm and moving away.\nWiww gathew owe automaticawwy.\nGathewing pawametews can be adjusted on the Geowogist tab.\nWetuwns to the station when fuww ow wow on pwopewwant.\nWhen attached, gwindews awe synchwonyized with youw ship.\nEmpty cwadwe awm can catch dwonyes and wifepods.
SYSTEM_CL150_MANUAL|Deaws thewmaw damage.
SYSTEM_PDMWG_MANUAL|Picks tawgets and fiwes automaticawwy.\nTawgeting computew is impewfect.\nDisabwe the hawdpoint to pwevent accidentaw fwiendwy fiwe.\nDeaws thewmaw and ewectwomagnyetic damage.\nCan disabwe hostiwe ship computews and autopiwots, stunnying ships.
SYSTEM_ACL200P_MANUAL|Deaws thewmaw and kinyetic damage.\nAutomaticawwy adjusts aim in a nyawwow conye in fwont of the ship.
SYSTEM_DND_TS_MANUAL|Stops owe and wifepods automaticawwy.\nOwe tawgeting cwitewia can be adjusted on the Geowogist tab.\nCan intewface with compatibwe weconnyaissance cwaft.\nWequiwes nyanyodwonye componyents stowage.
