locale|en_HK
SYSTEM_THRUSTER_K37_SPECS|Thwust: 200 kN\nExhaust vewocity: 15 km/s\nPwopewwant consumption: 13.3 kg/s\nPowew consumption: 5 MW\nThewmaw consumption: 1.5 GW\nOpewation mode: Puwsed thwust\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 70 kg (pew thwustew)\nManyufactuwew: Wusatom-Antonyoff
SYSTEM_THRUSTER_K44_SPECS|Thwust: 400 kN\nExhaust vewocity: 15 km/s\nPwopewwant consumption: 26.6 kg/s\nPowew consumption: 15 MW\nThewmaw consumption: 3.0 GW\nOpewation mode: Puwsed thwust\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 75 kg (pew thwustew)\nManyufactuwew: Wusatom-Antonyoff
SYSTEM_THRUSTER_MA150HO_SPECS|Thwust: 150 kN\nExhaust vewocity: 30 km/s\nPwopewwant consumption: 5 kg/s\nPowew consumption: 40 MW\nThewmaw consumption: 2.3 GW\nOpewation mode: Vawiabwe thwust\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 80 kg (pew thwustew)\nManyufactuwew: Mitsudaya-Stawbus
SYSTEM_THRUSTER_MA350HO_SPECS|Thwust: 350 kN\nExhaust vewocity: 25 km/s\nPwopewwant consumption: 14 kg/s\nPowew consumption: 60 MW\nThewmaw consumption: 4.4 GW\nOpewation mode: Vawiabwe thwust\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 120 kg (pew thwustew)\nManyufactuwew: Mitsudaya-Stawbus
SYSTEM_THRUSTER_EIT_SPECS|Thwust: 120 kN\nExhaust vewocity: 50 km/s\nPwopewwant consumption: 2.4 kg/s\nPowew consumption: 40 MW\nThewmaw consumption: 3.0 GW\nOpewation mode: Vawiabwe thwust\nPwopewwant: Hydwogen pwasma\nMass: 90 kg (pew thwustew)\nManyufactuwew: Eon Intewstewwaw
SYSTEM_THRUSTER_AGILE_SPECS|Thwust: 120 kN\nExhaust vewocity: 40 km/s\nPwopewwant consumption: 3.0 kg/s\nPowew consumption: 60 MW\nThewmaw consumption: 3.0 GW\nOpewation mode: Vawiabwe thwust, Gimbawwed\nGimbaw angwe: 35 deg\nGimbaw speed: 160 deg/s\nPwopewwant: Hydwogen pwasma\nMass: 120 kg (pew thwustew)\nManyufactuwew: Eon Intewstewwaw
SYSTEM_THRUSTER_NDVTT_SPECS|Thwust: 500 kN\nExhaust vewocity: 7 km/s\nPwopewwant consumption: 71.4 kg/s\nPowew consumption: 1 MW\nThewmaw consumption: 2.0 GW\nOpewation mode: Vawiabwe thwust\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 30 kg (pew thwustew)\nManyufactuwew: Nyakamuwa Dynyamics
SYSTEM_THRUSTER_NDSTR_SPECS|Thwust: 600 kN\nExhaust vewocity: 7 km/s\nPwopewwant consumption: 85.7 kg/s\nPowew consumption: 1 MW\nThewmaw consumption: 2.4 GW\nOpewation mode: Puwsed thwust\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 20 kg (pew thwustew)\nManyufactuwew: Nyakamuwa Dynyamics
SYSTEM_THRUSTER_GHET_SPECS|Thwust: 210 kN\nExhaust vewocity: 27 km/s\nPwopewwant consumption: 7.8 kg/s\nPowew consumption: 50 MW\nThewmaw consumption: 2.8 GW\nOpewation mode: Vawiabwe thwust, Gimbawwed\nGimbaw angwe: 20 deg\nGimbaw speed: 360 deg/s\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 130 kg (pew thwustew)\nManyufactuwew: Ewectwo Wide Systems
SYSTEM_THRUSTER_K69V_SPECS|Thwust: 400 kN\nExhaust vewocity: 12 km/s\nPwopewwant consumption: 33.3 kg/s\nPowew consumption: 25 MW\nThewmaw consumption: 2.4 GW\nOpewation mode: Puwsed thwust, Gimbawwed\nGimbaw angwe: 25 deg\nGimbaw speed: 540 deg/s\nPwopewwant: Oxygen-Hydwogen pwasma\nMass: 150 kg (pew thwustew)\nManyufactuwew: Wusatom-Antonyoff
