locale|en_HK
SERVICE_HOTEL_CAPSULES|Affowdabwe Capsuwe Hotew
SERVICE_HOTEL_CAPSULES_DESC|Affowdabwe Capsuwe Hotew offews accommodations d-diwectwy convewted fwom K37 ship habitats, p-pwesenting space-fawing citizens w-with both famiwiaw and a-affowdabwe expewiences. Wocated on the w-wim of the Industwiaw Wing of Encewadus Pwime, this capsuwe hotew opewates in onwy a f-fwaction of the nyominyaw gwavity, m-making it weww-suitabwe fow pwowonged z-zewo-gee wecovewy.
SERVICE_HOTEL_SKYDOME|SkyDome Wesowt
SERVICE_HOTEL_SKYDOME_DESC|The SkyDome wesowt, wocated on a pictuwesque wim of the Wesidentiaw W-Wing of Encewadus Pwime, offews wuxuwy accommodations fow the most demanding citizens of the station. A 0.7g gwavity combinyed with a wecweation dome equipped with fuww-scawe awtificiaw Sky, nyatuwaw Obonto-gwown vegetation, and even an outdoow swimming poow makes any stay at the SkyDome a-an unfowgettabwe expewience.
SERVICE_HOTEL_CAPSULES_OFFER|Standawd Accomodation Capsuwe: 3m^2\nIntewnyet Access Incwuded\nFwee Cancewation\n24 houws stay\n100 E$ / occupant
SERVICE_HOTEL_SKYDOME_OFFER|Wuxuwy Studio: 75 m^2\nIntewnyet Access Incwuded\nSpa Access\nAww Incwusive\nSpeciaw 3 days package\n5,000 E$ woom fee + 2,000 E-E$ / occupant owo
SERVICE_BAR_TWINS|The Twins ;;
SERVICE_BAR_TWINS_OFFER|Aww you can eat\nAww you can dwink\nAww you can inhawe\n300 E$ / pewson\nOwganyics onwy!? (UwU)
SERVICE_BAR_TWINS_DESC|The Twins a-awe a wenyownyed entewtainment estabwishment wocated in the twin towews ovewwooking the wim of Encewadus Pwime station, famous f-fow theiw Aww You Can p-packages. This estabwishment sewves owganyics onwy.
SERVICE_HOTEL_CAPSULES_MOON|Moonview Capsuwe Hotew
SERVICE_HOTEL_CAPSULES_MOON_DESC|M-Moonview C-Capsuwe H-Hotew offews pwemium capsuwe accommodations with a fuww-size ovewhead view of Encewadus. Wocated o-on the wim of the Industwiaw Wing of Encewadus P-Pwime, this capsuwe hotew o-opewates in o-onwy a f-fwaction of the nyominyaw gwavity, making it weww-suited fow pwowonged zewo-gee wecovewy.
SERVICE_HOTEL_CAPSULES_MOON_OFFER|Pwemium A-Accommodation Capsuwe: 6m^2\nIntewnyet Access Incwuded\nFwee Cancewation\n24 houws stay\n300 E$ / occupant (UwU)
SERVICE_HOTEL_UNDERSIDE|The Undewside Inn
SERVICE_HOTEL_UNDERSIDE_DESC|The Undewside Inn offews comfowtabwe quawtews fow pwowonged a-accommodation. Whiwe wocated in the pwemium s-spot on the v-vewy wim of the s-station and offewing a fantastic view of Satuwn and S-Sow, many occupants f-find diwect exposuwe t-to t-the station spin unsettwing. T-The o-outewmost wocation pwovides the highest appawent gwavity avaiwabwe on the station and i-is quite famous among twavewews fwom down the weww. ;;
SERVICE_HOTEL_UNDERSIDE_OFFER|Standawd woom: 30 m^2\nIntewnyet Access Incwuded\nBweakfast\n7 days package\n3,500 E$ / occupant
SERVICE_VILCY|Wocaw Viwcy Bwanch
SERVICE_VILCY_DESC|Whiwe Encewadus C-Cowp pwovides nyo govewnyance b-beyond the station i-itsewf, the cowpowation has estabwished a wewegiwd system to encouwage owdew and safety i-in the vast expanse of the wings.\n\nBased on the nyatuwe and sevewity of the offense, a wewegiwd is assignyed - a finye and compensatowy payment. Whiwe stwuctuwed as a finye, bounty huntews can contwact to weceive a bounty fow enfowcing payment. T-The Viwcy - an owganyized bounty h-huntew gwoup - have the monyey, h-hawdwawe, and ex-miwitawy e-expewtise at theiw disposaw to be successfuw in the industwy of bounty cowwection in the wings. Theiw infwuence in the fiewd is so dominyant t-that most peopwe seeking to m-make a caweew of bounty hunting subcontwact undew the Viwcy f-fow theiw wicense.\n\nIn the mattew of cowwections, hawf of the cowwected finye is twansfewwed to the wwonged pawty as westitution, and the west is awawded to the bounty huntew pewfowming the cowwection. By vowunteewing payment, you nyeed onwy pay the westitution pwus a t-ten p-pewcent pwocessing fee.
SERVICE_VILCY_OFFER|Pay off youw o-outstanding wewegiwds.\nDiscounts fow vowunteewing payment awe a-avaiwabwe.
SERVICE_IN_COOLDOWN|Avaiwabwe i-in: %s
SERVICE_MINERS|The Minyew's Guiwd
SERVICE_MINERS_DESC|The minyew's guiwd i-is a woose a-association of minyews, w-who shawe infowmation o-on w-who is h-hostiwe ow fwiendwy to theiw industwy. They wemembew who wwongs theiw m-membews, even a-among theiw own m-membewship. Hewe, you can c-cweaw youw nyame in theiw databases by making westitution fow any damages.\n\nThose making payment awe weminded, though, t-that individuaw captains awe nyot awways so quick to fowget.
SERVICE_MINERS_OFFER|Pay compensation fow minying accidents
SERVICE_OBONTO|Obonto H-Habitats
