locale|en_HK
OMS_SYSTEM_TOGGLE_TOOLTIP|Disabwe ow enyabwe this system
DAMAGE_WEAR_TOOLTIP|Weaw occuws nyatuwawwy by using the enginye.\nIt causes thwustews to misfiwe.\nHigh weaw wiww cause WCS to fiwe ewwaticawwy.
DAMAGE_BENT_TOOLTIP|Caused by impacts nyeaw the thwustew.\nMisawignyed thwustews wiww fiwe at angwes.
DAMAGE_RODS_TOOLTIP|Caused by wapid accewewations.\nIncweases time to engage and disengage the weactow and tempewatuwe fwuctuations.\nMay wead to a mewtdown.
DAMAGE_LEAK_TOOLTIP|Caused by diwect impacts.\nWeaks pwopewwant continyuouswy, wowewing weactow tempewatuwe.\nIncweases wisk of expwosion in high tempewatuwes.
DAMAGE_CHOKE_TOOLTIP|Caused by diwect impacts.\nChoked thwustews give wess thwust.
DAMAGE_TURBINE_TOOLTIP|Caused by ovewheating.\nIncweases the tempewatuwe and pwessuwe wequiwed to pwoduce ewectwicity.
DAMAGE_CONNECTION_TOOLTIP|Caused by impacts.\nSensows disconnyect wandomwy, giving empty weadouts.
DAMAGE_SHORT_CIRCUIT_TOOLTIP|Caused by EMP damage.\nSensows wiww give fawse weadings.
DAMAGE_OVERHEAT_TOOLTIP|Caused by high-tempewatuwe damage nyeaw cabin.\nSwows down aww on-boawd computew activity.
TOOLTIP_SELL_SLIDE|Move swidew wight to buy minyewaws.\nMove swidew weft to seww.\nTicks wepwesent metwic tons.\nSwidew we-scawes to take avaiwabwe funds into account.
CREW_STATS_PILOT_ADRENALINE_TOOLTIP|When in dangew, the piwot's pewception of time wiww swow down.
CREW_STATS_PILOT_ANTICIPATION_TOOLTIP|The piwot wiww pwedict the couwse of youw ship and aww suwwounding objects to detewminye if the ship is in dangew of cowwision.
CREW_STATS_MECHANIC_FIX_TOOLTIP|Extends how much youw mechanyic can wepaiw duwing maintenyance on Encewadus pwime station.
CREW_STATS_MECHANIC_JURYRIG_TOOLTIP|Changes how faw youw mechanyic can push youw ship systems in the OMS menyu duwing a dive.
CREW_STATS_GEOLOGIST_PREDICTION_TOOLTIP|Detewminyes accuwacy of pwice pwediction by youw geowogist\n- both on station in Minyewaw Mawket and duwing wing dive.
CREW_STATS_GEOLOGIST_RANGE_TOOLTIP|Youw geowogist wiww estimate the compositions and pwices of minyewaws within a wadius awound youw ship.
CREW_STATS_ASTROGATOR_RANGE_TOOLTIP|Astwogatow wiww highwight ships awound you by theiw twanspondews.
