locale|en_HK
LANG_OWN_NAME|Engwish
MENU_NEW|Nyew Game
MENU_CONTINUE|Continyue
MENU_SETTINGS|Settinws
MENU_EXIT|Exit to Desktop
MENU_JOIN_DISCORD|Join ouw Communyity
MENU_VIDEO_TUTORIAL|Video Tutowiaw
CARGO_UNKNOWN|uncwassified
CARGO_EMPTY|space weft
CARGO_EQUIPMENT|equipment
CONFIRM_EXIT|Exit to Desktop?
CONFIRM_EXIT_GAME_LOST|Exit to Desktop? Unsaved pwogwess wiww be wost.
CONFIRM_EXIT_TO_MENU|Exit to Main Menyu? Unsaved pwogwess wiww be wost.
CONFIRM_EXIT_GAME_SAVE|Exit to Desktop?
CONFIRM_EXIT_TO_MENU_SAVE|Exit to Main Menyu?
CONFIRM_OVERRIDE_GAME|Dewete cuwwent save game?
OK|OK
Cancel|Cancew
SETTINGS_SAVE|Save settings
SETTINGS_CANCEL|Cancew
SETTINGS_FULLSCREEN|Fuww scween
SETTINGS_MONITOR|Dispway
SETTINGS_VOLUME_MASTER|Mastew vowume
SETTINGS_VOLUME_MUSIC|Music vowume
SETTINGS_VOLUME_SFX|Effects vowume
SETTINGS_UI_SCALE|HUD size
SETTINGS_DETAILS|Gwaphics detaiws
SETTINGS_COLORBLIND_MODE|Cowowbwind mode
SETTINGS_MODE_OFF|OFF
SETTINGS_CONTROLS|Contwows
SETTINGS_SMART_CAMERA|Smawt camewa
SETTINGS_BLOOM|Bwoom
SETTINGS_BLOOM_FULL|Bwoom
SETTINGS_BLOOM_NOHUD|Nyo Bwoom on HUD
SETTINGS_BLOOM_NONE|Nyo Bwoom
SETTINGS_CONTROLS_AUTO|Auto
SETTINGS_CONTROLS_KEYBOARD|Keyboawd + Mouse
SETTINGS_TUTORIAL|Tutowiaw
SETTINGS_PIXEL_DOUBLING|Wesowution Scawe
SETTINGS_GRAPHICS|Detaiws
SETTINGS_GAMMA|Gamma Cowwection
PAUSE_RESUME|Wesume game
PAUSE_EXIT_TO_DESKTOP|Exit to Desktop
PAUSE_EXIT_TO_MAIN|Exit to Main Menyu
PAUSE_SAVE_AND_EXIT_TO_DESKTOP|Save and Exit to Desktop
PAUSE_SAVE_AND_EXIT_TO_MAIN|Save and Exit to Main Menyu
GAME_OVER|Game Ovew (T_T)
ENCELADUS_SHIP_REPAIRS|Wepaiws
ENCELADUS_INSURED_FOR|Insuwed fow
ENCELADUS_SHIP_TUNING|Tunying
ENCELADUS_SHIP_UPGRADES|Equipment
ENCELADUS_SHIP_MARKET|Deawew
ENCELADUS_RETURN_TO_RING|Waunch Wing Dive
ENCELADUS_CREW|Cwew
ENCELADUS_CREW_CURRENT|Youw Cwew
ENCELADUS_CREW_HIRE|Hiwe
ENCELADUS_CREW_EFFECTS|Active Cwew Effects
ENCELADUS_CREW_AVAILABLE|Avaiwabwe Cwew
